title,author,length
1. Atomic Habits,By: James Clear,Length: 5 hrs and 35 mins
2. Project Hail Mary,By: Andy Weir,Length: 16 hrs and 10 mins
3. Will,"By: Will Smith, Mark Manson",Length: 16 hrs and 16 mins
4. Greenlights,By: Matthew McConaughey,Length: 6 hrs and 42 mins
5. The Great Glorious Goddamn of It All,By: Josh Ritter,Length: 6 hrs and 52 mins
"6. Harry Potter and the Sorcerer's Stone, Book 1",By: J.K. Rowling,Length: 8 hrs and 18 mins
7. The Real Anthony Fauci,By: Robert F. Kennedy Jr.,Length: 27 hrs and 20 mins
8. The Subtle Art of Not Giving a F*ck,By: Mark Manson,Length: 5 hrs and 17 mins
9. Apples Never Fall,By: Liane Moriarty,Length: 18 hrs and 3 mins
10. Can't Hurt Me,By: David Goggins,Length: 13 hrs and 37 mins
11. Declutter Like a Mother,By: Allie Casazza,Length: 4 hrs and 5 mins
"12. Harry Potter and the Chamber of Secrets, Book 2",By: J.K. Rowling,Length: 9 hrs and 3 mins
13. The Measure of a Man,By: Sidney Poitier,Length: 7 hrs and 55 mins
14. The Last Wish,By: Andrzej Sapkowski,Length: 10 hrs and 17 mins
15. The Judge's List,By: John Grisham,Length: 11 hrs and 36 mins
16. Atlas of the Heart,By: Brené Brown,Length: 12 hrs
"17. Harry Potter and the Prisoner of Azkaban, Book 3",By: J.K. Rowling,Length: 11 hrs and 49 mins
18. The Lincoln Highway,By: Amor Towles,Length: 16 hrs and 39 mins
"19. Harry Potter and the Goblet of Fire, Book 4",By: J.K. Rowling,Length: 20 hrs and 37 mins
20. Dune,By: Frank Herbert,Length: 21 hrs and 2 mins
21. The Last Thing He Told Me,By: Laura Dave,Length: 8 hrs and 49 mins
22. 48 Laws of Power,By: Robert Greene,Length: 23 hrs and 6 mins
"23. Harry Potter and the Order of the Phoenix, Book 5",By: J.K. Rowling,Length: 26 hrs and 29 mins
24. Unthinkable,By: Jamie Raskin,Length: 15 hrs and 8 mins
25. 12 Rules for Life,"By: Jordan B. Peterson, Norman Doidge MD - foreword",Length: 15 hrs and 40 mins
26. It Ends with Us,By: Colleen Hoover,Length: 11 hrs and 11 mins
27. The Great Hunt,By: Robert Jordan,Length: 26 hrs and 34 mins
28. The Midnight Library,By: Matt Haig,Length: 8 hrs and 50 mins
29. The Seven Husbands of Evelyn Hugo,By: Taylor Jenkins Reid,Length: 12 hrs and 10 mins
"30. Harry Potter and the Half-Blood Prince, Book 6",By: J.K. Rowling,Length: 18 hrs and 32 mins
31. The Eye of the World,By: Robert Jordan,Length: 29 hrs and 57 mins
"32. Harry Potter and the Deathly Hallows, Book 7",By: J.K. Rowling,Length: 21 hrs and 37 mins
33. The Storyteller,By: Dave Grohl,Length: 10 hrs and 35 mins
34. How to Win Friends & Influence People,By: Dale Carnegie,Length: 7 hrs and 15 mins
